IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKI#Just_the_Way_You_Are	Just$NOM the$NOM Way$NOM You$NOM ara$NOM essere$VER:pres una$DET:indef canzone$NOM di$PRE Billy$NOM Joel$NOM registrare$VER:pper nel$PRE:det @card@$NUM per$PRE l'album$VER:infi the$NOM Stranger.$ABR
IT#WIKI#Citofono	il$DET:def citofono$NOM essere$VER:pres un$DET:indef sistema$NOM intercomunicante$ADJ installare$VER:pper nel$PRE:det edificio$NOM al$PRE:det fine$NOM di$PRE consentire$VER:infi il$DET:def comunicazione$NOM tra$PRE una$DET:indef postazione$NOM situare$VER:pper in$PRE prossimità$NOM dell'ingresso$ADJ e$CON il$DET:def abitazione$NOM private,$NOM ed$CON aprire$VER:infi a$PRE distanza$NOM il$DET:def porta.$NOM
IT#WIKIDATA#Q355168	attore$NOM statunitense$ADJ
IT#WIKIDATA#Q739752	politico$ADJ e$CON storico$ADJ burkinabè$NOM
IT#WIKIDATA#Q965	essere|stare$VER:pper dell'Africa$NOM occidentale$ADJ
IT#WIKI#Cantoni_della_Svizzera	il$DET:def cantone$NOM del$PRE:det Svizzera,$NOM in$PRE numero$NOM di$PRE @card@$NUM essere|sonare$VER:pres il$DET:def stato$NOM che$PRO:rela comporre$VER:pres il$DET:def confederazione$NOM Elvetica,$NOM cioè$ADV il$DET:def stato$NOM federale$ADJ svizzero.$NOM
IT#WIKI#Ciepielów	Ciepielów$NOM essere$VER:pres un$DET:indef comune$ADJ rurale$NOM polacco$ADJ del$PRE:det distretto$NOM di$PRE Lipsko,$NOM nel$PRE:det voivodato$NOM del$PRE:det Masovia.$NOM
IT#WIKIDATA#Q40937	comune$NOM italiano$ADJ
IT#WIKI#Pachamama	Pachamama$VER:impe significare$VER:pres in$PRE lingua$NOM quechua$NPR madre$NOM terra.$ABR
IT#WIKI#Lotus_Air	il$DET:def Lotus$NOM Air,$NOM fondare$VER:pper nel$PRE:det @card@$NUM e$CON divenire$VER:pper operativo$ADJ dal$PRE:det @card@$NUM essere$VER:pres una$DET:indef compagnia$NOM che$PRO:rela si$PRO:refl occupare$VER:pres di$PRE volo$NOM charter$ADJ estivo$ADJ verso$PRE l'Europa$VER:infi e$CON di$PRE volo$NOM di$PRE linea$NOM in$PRE Egitto$NPR e$CON nel$PRE:det paese$NOM intorno$ADV o$CON a$PRE breva$NOM distanza.$ABR
IT#WIKI#Clotilde_(Franchi)	era$NOM figlio$NOM del$PRE:det re$NOM del$PRE:det Burgundi,$NOM Chilperico$ABR II$NUM e$CON del$PRE:det moglie,$NOM di$PRE cui$PRO:rela non$ADV si$PRO:pers conoscere$VER:pres il$DET:def nome.$NOM
IT#WIKIDATA#Q386866	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Petroicidae$NOM
IT#WIKI#Asterix_legionario	Asterix$NOM legionario$ADJ essere$VER:pres il$DET:def decimo$ADJ storia$NOM a$PRE fumetto$NOM del$PRE:det serie$NOM Asterix,$NOM creare$VER:pper dal$PRE:det duo$NOM francese$ADJ René$NOM Goscinny$NOM e$CON Albert$NOM Uderzo.$ABR
IT#WIKI#American_Airlines	il$DET:def American$NPR Airlines$NPR essere$VER:pres il$DET:def secondo$ADJ compagnia$NOM aereo$ADJ del$PRE:det mondo$NOM per$PRE passeggero$NOM per$PRE chilometro$NOM trasportare$VER:pper nel$PRE:det @card@$NUM secondo$PRE il$DET:def IATA$NPR ed$CON essere$VER:pres il$DET:def quinto$ADJ compagnia$NOM aereo$ADJ al$PRE:det mondo$NOM per$PRE numero$NOM di$PRE passeggero$NOM trasportato$ADJ e$CON sesto$ADJ per$PRE il$DET:def flotta.$NOM
IT#WIKIDATA#Q1406718	scrittore$NOM e$CON geografo$NOM spagnolo$ADJ
IT#WIKI#Partito_del_Movimento_Democratico_Brasiliano	il$DET:def partito$NOM del$PRE:det movimento$NOM democratico$NOM brasiliano$NOM essere$VER:pres un$DET:indef partito$NOM politico$ADJ brasiliano.$NOM
IT#WIKIDATA#Q502798	comune$NOM tedesco$ADJ
IT#WIKIDATA#Q40175	comune$NOM italiano$ADJ
IT#WIKI#Borago_officinalis	il$DET:def borragine$NOM essere$VER:pres una$DET:indef pianta$NOM erbaceo$ADJ annuale$ADJ del$PRE:det famiglia$NOM del$PRE:det Boraginaceae.$NOM
IT#WIKI#Husayni	Usaynī$NOM spesso$ADV impropriamente$ADV noto$ADJ come$PRE Husseini,$NOM essere$VER:pres il$DET:def nome$NOM di$PRE un'eminente$ADJ famiglia$NOM palestinese$ADJ anticamente$ADV residente$ADJ a$PRE Gerusalemme.$NOM
IT#WIKIDATA#Q374172	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Charlie$NOM Chaplin$NOM
IT#WIKI#Potamogale_velox	il$DET:def potamogale$NOM essere$VER:pres un$DET:indef mammifero$ADJ afrosoricida$NOM che$CON vivo$NOM nel$PRE:det foresta$NOM tropicale$ADJ di$PRE Dzanga-Sangha$NOM nel$PRE:det Camerun,$NOM dove$PRO:rela popolare$VER:pres il$DET:def corso$ADJ d'acqua$NOM e$CON il$DET:def acquitrini.$NOM
IT#WIKI#Warren_Kealoha	specializzare$VER:pper nel$PRE:det dorso$NOM avere$VER:pres vincere$VER:pper il$DET:def medaglia$NOM d'oro$VER:pres nel$PRE:det 100m$NOM dorso$NOM sia$CON al$PRE:det gioco$NOM olimpico$ADJ di$PRE Anversa$NOM @card@$NUM che$PRO:rela a$PRE Parigi$NPR @ord@$ORD
IT#WIKI#Nowe_Miasto_nad_Pilicą	Nowe$NOM Miasto$NOM nad$NOM Pilicą$NOM essere$VER:pres un$DET:indef comune$ADJ urbano-rurale$NOM polacco$ADJ del$PRE:det distretto$NOM di$PRE Grójec,$NOM nel$PRE:det voivodato$NOM del$PRE:det Masovia.$NOM
IT#WIKI#Emotorace	L'emotorace$NOM essere$VER:pres un$DET:indef versamento$NOM di$PRE sangue$NOM e$CON liquido$NOM nel$PRE:det cavità$NOM pleurico$ADJ in$PRE seguito$NOM a$PRE trauma$NOM toracico$ADJ o$CON processo$NOM morboso$ADJ del$PRE:det pleura.$NOM
IT#WIKIDATA#Q420014	enzima$NOM
IT#WIKIDATA#Q990	serie$NOM televisivo$ADJ polacco$ADJ
IT#WIKIDATA#Q659339	Album$NOM di$PRE Gary$NPR Moore$NOM del$PRE:det @card@$NUM
IT#WIKI#Metal_Gear_Solid_3:_Snake_Eater	Metal$NPR Gear$ABR Solid$NOM @card@$NUM Snake$NOM Eater$NOM essere$VER:pres un$DET:indef videogioco$NOM d'azione$NOM sviluppare$VER:pper dal$PRE:det software$NOM house$ADJ giapponese$ADJ Konami$NOM per$PRE il$DET:def console$NOM PlayStation$NOM @ord@$ORD
IT#WIKIDATA#Q1428363	comune$NOM francese$ADJ
IT#WIKIDATA#Q2520052	comune$ADJ ceco$NOM
IT#WIKI#Erny-Saint-Julien	Erny-Saint-Julien$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det passo$NOM di$PRE Calais$NOM nel$PRE:det regione$NOM del$PRE:det Nord-Passo$NOM di$PRE Calais.$NOM
IT#WIKI#Andrew_Handyside_and_Company	il$DET:def Andrew$NOM Handyside$NOM and$NPR company$NOM essere$VER:pres essere|stare$VER:pper una$DET:indef fonderia$NOM di$PRE ferro$NOM a$PRE Derby,$NOM in$PRE Inghilterra$NPR nel$PRE:det XIX$NUM secolo.$NOM
IT#WIKI#Zsira	Zsira$VER:impe essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det provincia$NOM di$PRE Győr-Moson-Sopron,$NOM nell'Ungheria$NOM nordoccidentale.$NOM
IT#WIKI#Villa_Caldogno	villa$NOM Caldogno$NOM essere$VER:pres una$DET:indef villa$NOM veneto$ADJ attribuire$VER:pper all'architetto$NOM Andrea$NPR palladio$NOM che$PRO:rela sorgere$VER:pres nel$PRE:det comune$NOM di$PRE Caldogno,$NOM nel$PRE:det pressi$NOM del$PRE:det centro$NOM del$PRE:det paese.$NOM
IT#WIKIDATA#Q654716	gruppo$NOM musicale$ADJ statunitense$ADJ
IT#WIKI#Statoreattore	il$DET:def statoreattore,$NOM anche$ADV dire$VER:pper dinamogetto$NOM termine$NOM ora$ADV in$PRE disuso,$NOM in$PRE inglese$ADJ ramjet,$NOM essere$VER:pres un$DET:indef motore$NOM a$PRE reazione$NOM e$CON concettualmente$VER:impe il$DET:def più$ADV semplice$ADJ esoreattore.$NOM
IT#WIKI#Saltator_aurantiirostris	il$DET:def Beccoforte$NOM beccodorato$ADJ essere$VER:pres un$DET:indef uccello$NOM del$PRE:det famiglia$NOM Cardinalidae,$NOM diffondere$VER:pper in$PRE America$NPR latina.$ABR
IT#WIKI#Gaming_(Bassa_Austria)	Gaming$ADJ essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det bassa$NOM Austria.$ABR
IT#WIKIDATA#Q28979	Città$NPR del$PRE:det Cina$NPR
IT#WIKI#Reattivo_di_Benedict	il$DET:def reagente$NOM di$PRE Benedict$NOM essere$VER:pres una$DET:indef soluzione$NOM utilizzare$VER:pper per$PRE effettuare$VER:infi il$DET:def saggio$NOM di$PRE Benedict.$NOM
IT#WIKI#Seleuco_IV	Seleuco$NOM essere$VER:remo obbligare$VER:pper dal$PRE:det problema$NOM finanziario$ADJ del$PRE:det stato,$NOM in$PRE parte$NOM a$PRE causa$NOM dall'indennizzo$NOM del$PRE:det guerra$NOM a$PRE Roma,$NOM stabilire$VER:pper con$PRE il$DET:def pace$NOM di$PRE Apamea$NOM del$PRE:det @card@$NUM a.C.,$NOM a$PRE mantenere$VER:infi una$DET:indef politica|politico$NOM ambizioso$ADJ e$CON venire$VER:remo così$ADV assassinare$VER:pper dal$PRE:det suo$PRO:poss ministro$NOM Eliodoro.$ABR
IT#WIKIDATA#Q918908	comune$ADJ statunitense$ADJ dell'Alabama$NOM
IT#WIKI#Corbi_(Argeş)	Corbi$VER:impe essere$VER:pres un$DET:indef comune$NOM del$PRE:det Romania$NPR di$PRE @card@$NUM abitanti,$NOM ubicare$VER:pper nel$PRE:det distretto$NOM di$PRE Argeş,$NOM nel$PRE:det regione$NOM storico$ADJ del$PRE:det Muntenia.$NOM
IT#WIKIDATA#Q2232350	comune$NOM statunitense$ADJ del$PRE:det Kansas$NOM
IT#WIKI#Allsvenskan_1960	L'edizione$VER:remo @card@$NUM del$PRE:det campionato$NOM di$PRE calcio$NOM svedese$ADJ vedere$VER:remo il$DET:def vittoria$NOM finale$ADJ dell'IFK$NOM Norrköping.$ABR
IT#WIKI#Eudemonismo	L'eudemonismo$NOM essere$VER:pres una$DET:indef dottrina$NOM morale$ADJ che$PRO:rela identificare$VER:pres il$DET:def bene$NOM con$PRE il$DET:def felicità.$NOM
IT#WIKI#Altenheim	Altenheim$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det basso$NOM Reno$NPR nel$PRE:det regione$NOM dell'Alsazia.$ABR
IT#WIKI#Lavilletertre	Lavilletertre$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Oise$ADJ del$PRE:det regione$NOM del$PRE:det Piccardia.$NOM
IT#WIKIDATA#Q840416	comune$NOM francese$ADJ nel$PRE:det dipartimento$NOM dell'Aisne$VER:geru
IT#WIKIDATA#Q690393	comune$NOM francese$ADJ
IT#WIKI#Ebrei_americani	un$DET:indef ebreo$NOM americano$ADJ essere$VER:pres un$DET:indef cittadino$NOM statunitense$ADJ o$CON straniero$ADJ residente$NOM di$PRE religione$NOM o$CON etnia$NOM ebraica.$NOM
IT#WIKI#Severiano_Melo	Severiano$ADJ melo$NOM essere$VER:pres un$DET:indef comune$NOM nel$PRE:det stato$NOM brasiliano$ADJ del$PRE:det rio$NOM grande$NOM do$NOM Norte.$ABR
IT#WIKIDATA#Q5780945	sensazione$NOM di$PRE dolore$NOM provocare$VER:pper da$PRE un$DET:indef mala|male$NOM fisico$ADJ o$CON morale$ADJ
IT#WIKI#Mercedes-Benz_W114_e_W115	W114$NOM e$CON W115$NOM essere|sonare$VER:pres il$DET:def sigla$NOM progettuale$ADJ di$PRE un'autovettura$NOM produrre$VER:pper dal$PRE:det tedesco$ADJ Mercedes-Benz$NOM tra$PRE il$DET:def @card@$NUM ed$CON il$DET:def @ord@$ORD
IT#WIKI#Message_Passing_Interface	il$DET:def Message$NOM Passing$NOM Interface$NOM essere$VER:pres un$DET:indef protocollo$NOM di$PRE comunicazione$NOM per$PRE computer.$NOM
IT#WIKIDATA#Q901606	comune$NOM francese$ADJ
IT#WIKI#Masamune_Shirow	il$DET:def suo$PRO:poss nome$NOM reale$ADJ essere$VER:pres Masanori$NOM Ota,$NOM il$DET:def nome$NOM "Masamune$NOM Shirow"$NOM essere$VER:pres uno$DET:indef pseudonimo$NOM basare$VER:pper sul$PRE:det nome$NOM del$PRE:det famoso$ADJ armaiolo$NOM Masamune.$ABR
IT#WIKI#Laghi_(governatorato)	lago$NOM essere$VER:pres un$DET:indef governatorato$NOM del$PRE:det Sudan$NPR del$PRE:det Sud.$NOM
IT#WIKI#Strada_europea_E314	il$DET:def strada$NOM europeo$ADJ E314$NOM essere$VER:pres una$DET:indef strada$NOM di$PRE classe$NOM B,$NOM lungo$ADJ @card@$NUM km,$NOM il$DET:def cui$PRO:rela percorso$NOM si$PRO:refl snodare$VER:pres tra$PRE Belgio,$NOM Olanda$NPR e$CON Germania.$NOM
IT#WIKIDATA#Q469620	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Ted$NOM Post$NOM
IT#WIKI#Glacier_Express	il$DET:def Glacier$NOM Express$NPR essere$VER:pres un$DET:indef treno$NOM diretto$ADJ in$PRE svizzero$NOM che$PRO:rela andare$VER:pres da$PRE St-Moritz$NOM a$PRE Zermatt$NOM via$ADV Coira,$NOM Disentis,$NOM Andermatt$NOM e$CON Briga.$NOM
IT#WIKIDATA#Q2349767	comune$ADJ ceco$NOM
IT#WIKI#Tabor_(Slovenia)	Tabor$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Slovenia$NPR centrale.$ABR
IT#WIKIDATA#Q39498	comune$NOM italiano$ADJ
IT#WIKIDATA#Q2501578	pittore$NOM italiano$ADJ
IT#WIKI#Livernon	Livernon$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Lot$NOM nel$PRE:det regione$NOM del$PRE:det Midi-Pirenei.$NOM
IT#WIKI#Llanberis	Llanberis$NOM essere$VER:pres un$DET:indef comune$NOM che$PRO:rela si$PRO:refl trovare$VER:pres nel$PRE:det regione$NOM del$PRE:det Gwynedd$NOM nel$PRE:det nord$NOM del$PRE:det Galles.$NOM
IT#WIKIDATA#Q274285	pittore$NOM francese$ADJ
IT#WIKI#Biblioteca_Universitaria_di_Graz	il$DET:def biblioteca$NOM universitario$NOM di$PRE Graz$NOM essere$VER:pres il$DET:def più$ADV grande$ADJ biblioteca$NOM scientifico$ADJ del$PRE:det Stiria,$NOM e$CON di$PRE questo$PRO:demo regione$NOM avere$VER:pres anche$ADV il$DET:def diritto$NOM di$PRE ricevere$VER:infi l'esemplare$VER:infi obbligatorio$ADJ di$PRE tutto$ADJ il$DET:def stampato.$NOM
IT#WIKI#The_Lost_Room	the$NOM Lost$NOM Room$NOM essere$VER:pres una$DET:indef miniserie$NOM televisivo$ADJ statunitense$ADJ che$PRO:rela coniugare$VER:pres fantascienza$NOM a$PRE paranormale,$NOM trasmettere$VER:pper su$PRE Sci-fi$NOM Channel$NPR ed$CON in$PRE onda$NOM in$PRE Italia$NPR su$PRE Fox.$ABR
IT#WIKIDATA#Q632062	comune$NOM tedesco$ADJ
IT#WIKIDATA#Q784465	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Ingmar$VER:infi Bergman$NOM
IT#WIKI#Antelope_Valley-Crestview	Antelope$ADJ Valley-Crestview$NOM essere$VER:pres un$DET:indef census-designated$NOM place$ADJ del$PRE:det stato$NOM Uniti$NOM d'America,$NOM situare$VER:pper nel$PRE:det contea$NOM di$PRE Campbell$NPR del$PRE:det stato$NOM del$PRE:det Wyoming.$NOM
IT#WIKI#Richard_Donner	Richard$NPR Donner$NOM nascere$VER:pres il$DET:def @card@$NUM aprile$NOM @card@$NUM nel$PRE:det Bronx,$NOM a$PRE New$NPR York.$ABR
IT#WIKI#Federazione_calcistica_di_Martinica	il$DET:def federazione$NOM calcistico$ADJ di$PRE Martinica,$NOM ufficialmente$ADV Ligue$ADJ de$NPR football$NOM de$NPR il$DET:def Martinique,$NOM fondare$VER:pper nel$PRE:det @card@$NUM essere$VER:pres il$DET:def massimo$ADJ organo$NOM amministrativo$ADJ del$PRE:det calcio$NOM in$PRE Martinica.$NOM
IT#WIKI#Puerto_Varas	Puerto$ADJ Varas$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det sud$NOM del$PRE:det Cile$NPR situare$VER:pper nel$PRE:det provincia$NOM di$PRE Llanquihue$NOM nel$PRE:det regione$NOM di$PRE Los$NPR Lagos,$NOM sul$PRE:det costa$NOM sud$NOM del$PRE:det lago$NOM Llanquihue.$ABR
IT#WIKIDATA#Q473552	comune$NOM francese$ADJ
IT#WIKIDATA#Q4583	ebreo$ADJ tedesco$ADJ vittima$NOM del$PRE:det nazismo$NOM
IT#WIKI#Predrag_Bjelac	Laureatosi$NOM al$PRE:det facoltà$NOM di$PRE Arti$VER:infi drammatica$NOM dell'Università$NOM di$PRE Belgrado$NPR nel$PRE:det @card@$NUM successivamente$ADV avere$VER:pres studiare$VER:pper al$PRE:det Lee$NOM Strasberg$NOM Theatre$NOM Insititute$NOM di$PRE New$NPR York.$ABR
IT#WIKIDATA#Q373928	comune$NOM francese$ADJ
IT#WIKI#Holt_(Alabama)	Holt$NOM essere$VER:pres un$DET:indef census-designated$NOM place$ADJ del$PRE:det stato$NOM Uniti$NOM d'America$ADJ situare$VER:pper nel$PRE:det contea$NOM di$PRE Tuscaloosa$NOM del$PRE:det essere|stare$VER:pper dell'Alabama.$NOM
IT#WIKIDATA#Q43933	nebulosa$NOM planetario$ADJ nel$PRE:det costellazione$NOM del$PRE:det Cefeo$NOM
IT#WIKIDATA#Q577736	genere$NOM di$PRE animale$NOM del$PRE:det famiglia$NOM Dicynodontidae$NOM
IT#WIKI#Idanha-a-Nova	Idanha-a-Nova$VER:impe essere$VER:pres un$DET:indef comune$NOM portoghese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det distretto$NOM di$PRE Castelo$NOM Branco.$ABR
IT#WIKI#Legato_pontificio	il$DET:def legato$NOM pontificio$ADJ essere$VER:pres un$DET:indef inviato$NOM del$PRE:det papa,$NOM suo$PRO:poss stabile$ADJ rappresentante$NOM presso$PRE il$DET:def chiesa$NOM locale$ADJ oppure$CON presso$PRE il$DET:def autorità$NOM statali.$ABR
IT#WIKIDATA#Q151752	asteroide$NOM
IT#WIKI#3666_Holman	@card@$NUM Holman$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale$ADJ del$PRE:det diametro$NOM medio$ADJ di$PRE circa$ADV @card@$NUM km.$NOM
IT#WIKI#Charlotte_Lewis_(attrice)	nascere$VER:pper a$PRE Kensington$NOM da$PRE una$DET:indef famiglia$NOM di$PRE origine$NOM irlandese-iracheno-cilena,$NOM esordire$VER:pres nel$PRE:det @card@$NUM nel$PRE:det film$NOM di$PRE Roman$NPR Polansky,$NOM Pirati.$ABR
IT#WIKIDATA#Q57938	fisico$NOM tedesco$ADJ
IT#WIKIDATA#Q1242512	Album$NOM del$PRE:det Arch$NOM Enemy$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q441965	cestista$NOM sovietico$ADJ
IT#WIKIDATA#Q2611216	asteroide$NOM
IT#WIKIDATA#Q603197	asteroide$NOM
IT#WIKIDATA#Q532235	comune$NOM francese$ADJ
IT#WIKI#Gasztony	Gasztony$NOM essere$VER:pres un$DET:indef comune$ADJ dell'Ungheria$NOM di$PRE @card@$NUM abitanti.$ABR
IT#WIKIDATA#Q256562	modella|modello$NOM e$CON stilista$NOM francese$ADJ
IT#WIKI#Novo_Oriente_de_Minas	Novo$NOM oriente$NOM de$NPR Minas$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det stato$NOM del$PRE:det Minas$NOM Gerais$NOM in$PRE Brasile.$NOM
IT#WIKI#Ordine_di_San_Benedetto	L'Ordine$VER:remo di$PRE San$NPR Benedetto$NOM essere$VER:pres una$DET:indef confederazione$NOM che$PRO:rela riunire$VER:pres congregazione$NOM monastico$ADJ e$CON monastero$NOM autonomo$ADJ che$PRO:rela perpetuare$VER:pres l'ideale$VER:infi religioso$ADJ del$PRE:det monachesimo$NOM benedettino$ADJ in$PRE conformità$NOM con$PRE il$DET:def regola$NOM e$CON il$DET:def spirito$NOM di$PRE san$NOM Benedetto;$NOM il$DET:def monaco$NOM benedettino$ADJ posporre$VER:pres al$PRE:det loro$PRO:poss nome$NOM il$DET:def sigla$NOM O.S.B.$NOM
IT#WIKI#Molauer_Land	Molauer$NOM Land$NPR essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Sassonia-Anhalt,$NOM in$PRE Germania.$NOM
IT#WIKI#Commedia	una$DET:indef commedia$NOM essere$VER:pres un$DET:indef componimento$NOM teatrale$ADJ o$CON un'opera$VER:impe cinematografico$ADJ dal$PRE:det tematica$NOM leggero$ADJ o$CON atto$ADJ a$PRE suscitare$VER:infi il$DET:def riso,$NOM assai$ADV spesso$ADV trattare$VER:pres di$PRE amore$NOM controverso$ADJ perlopiù$ADV a$PRE lieto$ADJ fine.$NOM
IT#WIKI#Zond_1	Zond$NOM @card@$NUM essere$VER:pres una$DET:indef sonda$ADJ sovietico$NOM appartenere$VER:ppre al$PRE:det programma$NOM Zond$NOM lanciare$VER:pper verso$PRE venere$NOM il$DET:def @card@$NUM aprile$NOM @card@$NUM al$PRE:det @card@$NUM UTC$NOM dal$PRE:det cosmodromo$NOM di$PRE Baikonur.$NOM
IT#WIKIDATA#Q2417729	comune$NOM ungherese$ADJ
IT#WIKIDATA#Q2537063	quotidiano$NOM brasiliano$ADJ
IT#WIKIDATA#Q516362	comune$NOM tedesco$ADJ
IT#WIKIDATA#Q39221	comune$NOM italiano$ADJ
IT#WIKIDATA#Q147816	comune$ADJ ceco$NOM
IT#WIKI#White_Star_Line	il$DET:def White$NPR star$NOM line$NOM essere$VER:pres essere|stare$VER:pper una$DET:indef compagnia$NOM navale$ADJ britannico$ADJ fondare$VER:pper a$PRE Liverpool$NPR nel$PRE:det @card@$NUM da$PRE John$NPR Pilkington$NOM e$CON henry$NOM Wilson.$ABR
IT#WIKI#Roberto_Durán	il$DET:def International$NPR Boxing$NOM hall$NOM of$NPR fame$NOM lo$PRO:pers avere$VER:pres riconoscere$VER:pper fra$PRE il$DET:def più$ADV grande$ADJ pugile$NOM di$PRE ogni$ADJ tempo.$NOM
IT#WIKI#NetBIOS	NetBIOS$NOM essere$VER:pres l'acronimo$VER:infi di$PRE network$NOM Basic$NOM Input/Output$NOM System,$NOM ovvero$CON sistema$NOM base$NOM di$PRE Input/Output$NOM di$PRE rete.$NOM
IT#WIKI#Vaughan	Vaughan$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det Canada$NPR di$PRE @card@$NUM abitante$NOM nel$PRE:det regione$NOM di$PRE York,$NOM a$PRE nord$NOM di$PRE Toronto,$NOM nel$PRE:det provincia$NOM dell'Ontario.$ABR
IT#WIKI#Heinrich_Vollmer	il$DET:def costruttore$ADJ capo$NOM del$PRE:det stabilimento$NOM Erma,$NOM di$PRE Erfurt,$NOM Heinrich$NOM Vollmer$NOM preso$ADJ come$PRE spunto$NOM il$DET:def costruzione$NOM originario$ADJ del$PRE:det pistola$NOM mitragliatore$ADJ MP36$NOM e$CON da$PRE questo$PRO:demo creare$VER:remo il$DET:def nota$NOM il$DET:def pistola$NOM mitragliatore$ADJ tedesco$ADJ del$PRE:det seconda|secondo$NOM guerra$NOM mondiale$ADJ MP40.$ABR
IT#WIKIDATA#Q586888	comune$NOM francese$ADJ
IT#WIKIDATA#Q221130	Basso-baritono$NOM canadese$ADJ
IT#WIKI#Valeille	Valeille$VER:impe essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Loira$NOM del$PRE:det regione$NOM del$PRE:det Rodano-Alpi.$NOM
IT#WIKI#Woman_in_Love	"Woman$NOM in$PRE Love"$NOM essere$VER:pres un$DET:indef popolare$ADJ brano$NOM musicale$ADJ del$PRE:det @card@$NUM cantare$VER:pper da$PRE Barbra$NOM Streisand$NOM ed$CON estratto$NOM come$PRE singolo$ADJ dall'album$NOM Guilty.$ABR
IT#WIKI#Pagoda_Shwedagon	il$DET:def pagoda$NOM Shwedagon$NOM essere$VER:pres uno$DET:indef stupa$NOM dorato$ADJ alto$ADJ @card@$NUM metro$NOM situare$VER:pper a$PRE Rangoon,$NOM Birmania.$ABR
IT#WIKI#Dipartimento_di_San_Luis_del_Palmar	San$NPR Luis$NPR del$PRE:det Palmar$NOM essere$VER:pres un$DET:indef dipartimento$NOM argentino,$NOM situare$VER:pper nel$PRE:det parte$NOM nord-occidentale$ADJ del$PRE:det provincia$NOM di$PRE Corrientes,$NOM con$PRE capoluogo$NOM San$NPR Luis$NPR del$PRE:det Palmar.$NOM
IT#WIKI#Hacqueville	Hacqueville$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Eure$NOM nel$PRE:det regione$NOM dell'Alta$VER:pres Normandia.$NOM
IT#WIKI#Mappa_di_Hereford	il$DET:def mappa$NOM di$PRE Hereford$NOM essere$VER:pres uno$DET:indef del$PRE:det più$ADV famoso$ADJ esempio$NOM di$PRE mappa$NOM mundio$NOM medievale.$NOM
IT#WIKI#Open_Systems_Interconnection	in$PRE telecomunicazione$NOM e$CON informatico$ADJ l'Open$NOM Systems$NPR Interconnection$NOM essere$VER:pres uno$DET:indef standard$NOM per$PRE rete$NOM di$PRE calcolatore$NOM stabilire$VER:pper nel$PRE:det @card@$NUM dall'International$NOM Organization$NOM for$NOM Standardization,$NOM il$DET:def principale$ADJ ente$NOM di$PRE standardizzazione$NOM internazionale,$NOM che$PRO:rela stabilire$VER:pres per$PRE l'architettura$VER:infi logica|logico$NOM di$PRE rete$NOM un'architettura$NOM a$PRE strato$NOM comporre$VER:pper da$PRE una$DET:indef pila$NOM di$PRE protocollo$NOM suddividere$VER:pper in$PRE @card@$NUM livelli,$NOM il$DET:def quale$PRO:rela insieme$ADV espletare$VER:pres in$PRE maniera$NOM logico-gerarchica$ADJ tutto$ADJ il$DET:def funzionalità$NOM del$PRE:det rete.$NOM
