FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#Laze	le$DET:ART laze$NOM être$VER:pres un$DET:ART langue$NOM caucasien$ADJ de$PRP le$DET:ART famille$NOM du$PRP:det langue$NOM kartvéliennes$ADJ proche$ADJ du$PRP:det géorgien,$NOM dont$PRO:REL elle$PRO:PER s'est$NOM séparée,$ADJ avec$PRP le$DET:ART mingrélien,$NOM un$DET:ART millénaire$NOM avant$PRP l'ère$NOM chrétienne.$ADJ
FR#WIKI#Roque_González_Garza	roque$NOM González$NAM Garza$NAM être$VER:impf un$DET:ART général$ADJ mexicain,$NOM il$PRO:PER présider$VER:simp brièvement$ADV le$DET:ART Mexique$NAM entre$PRP janvier$NOM et$KON juin$NOM @card@$NUM lors$ADV de$PRP le$DET:ART révolution$NOM mexicaine,$ADJ pour$PRP le$DET:ART compte$NOM du$PRP:det Conventionnistes.$ABR
FR#WIKI#Quatrième_République	le$DET:ART Quatrième$NAM République$NAM être$VER:pres le$DET:ART régime$NOM politique$ADJ de$PRP le$DET:ART France$NAM de$PRP à$PRP octobre$NOM @ord@$ADJ
FR#WIKI#Jiddu_Krishnamurti	Jiddu$NOM Krishnamurti,$ABR naître$VER:pper à$PRP Madanapalle$NOM le$DET:ART @card@$NUM mai$NOM @card@$NUM et$KON décéder$VER:pper à$PRP Ojai,$ABR le$DET:ART @card@$NUM février$NOM @card@$NUM être$VER:pres un$DET:ART philosophe$ADJ et$KON promoteur$ADJ d'une$NOM éducation$NOM alternatif$ADJ d'origine$NOM indienne.$ADJ
FR#WIKIDATA#Q1007208	commune$NOM français$ADJ
FR#WIKI#Henry_Bauchau	Henry$NAM Bauchau,$NAM être$VER:pres un$DET:ART psychanalyste$NOM et$KON un$DET:ART poète,$ADJ dramaturge$NOM et$KON romancier$NOM belge$ADJ de$PRP langue$NOM française.$ADJ
FR#WIKI#Independent_Spirit_Awards	le$DET:ART Independent$NAM Spirit$NAM Awards$NAM être$VER:pres du$PRP:det récompense$NOM de$PRP cinéma$NOM américain$ADJ décerner$VER:pper au$PRP:det film$NOM indépendants.$ADJ
FR#WIKI#Paias_Wingti	Paias$NOM Wingti$NAM être$VER:pres un$DET:ART homme$NOM politique$ADJ de$PRP Papouasie-Nouvelle-Guinée].$NAM
FR#WIKI#Saint-Jean-de-Bassel	Saint-Jean-de-Bassel$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Moselle$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKIDATA#Q658278	ancien$ADJ joueur$NOM de$PRP football$NOM néerlandais$ADJ
FR#WIKI#Burlington_(Caroline_du_Nord)	Burlington$NAM être$VER:pres un$DET:ART ville$NOM de$PRP Caroline$NAM du$PRP:det Nord$NOM au$PRP:det États-Unis$NAM situer$VER:pper dans$PRP le$DET:ART comté$NOM d'Alamance.$ADJ
FR#WIKIDATA#Q203597	console$NOM de$PRP jeu$NOM portable$ADJ
FR#WIKI#Arrondissement_de_Zwickau	L’arrondissement$NOM de$PRP Zwickau$NAM être$VER:pres un$DET:ART arrondissement$NOM de$PRP Saxe,$NAM dans$PRP le$DET:ART district$NOM de$PRP Chemnitz.$NAM
FR#WIKIDATA#Q2440845	tournoi$NOM de$PRP tennis$NOM
FR#WIKI#Salazac	Salazac$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Gard$NAM et$KON le$DET:ART région$NOM Languedoc-Roussillon.$NAM
FR#WIKIDATA#Q644125	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Eau_distillée	L'eau$NOM distiller$VER:pper être$VER:pres un$DET:ART eau$NOM qui$PRO:REL avoir$VER:pres subir$VER:pper un$DET:ART distillation,$NOM donc$ADV être$VER:pres théoriquement$ADV exempt$ADJ de$PRP certain$PRO:IND minéral$NOM et$KON organisme$NOM que$KON l'on$NOM pouvoir$VER:cond retrouver$VER:infi dans$PRP l'eau$NOM «$PUN:cit naturel$ADJ ».$NOM
FR#WIKIDATA#Q566548	commune$NOM allemand$ADJ
FR#WIKIDATA#Q531080	joueur$NOM de$PRP football$NOM brésilien$ADJ
FR#WIKI#Consonne_affriquée	en$PRP phonétique$ADJ articulatoire,$NOM un$DET:ART consonne$NOM affriquée$ADJ être$VER:pres un$DET:ART consonne$NOM composer$VER:pper de$PRP deux$NUM phase$NOM successif$ADJ :$PUN un$DET:ART phase$NOM occlusif$ADJ et$KON un$DET:ART phase$NOM fricatif$ADJ produire$VER:pper dans$PRP le$DET:ART temps$NOM nécessaire$ADJ à$PRP le$DET:ART production$NOM d’une$VER:subp occlusif$ADJ ou$KON d’une$NOM fricatif$ADJ simples.$ADJ
FR#WIKIDATA#Q1769783	commune$NOM espagnol$ADJ
FR#WIKI#Oberscharführer	Oberscharführer$NAM être$VER:pres un$DET:ART grade$NOM dans$PRP le$DET:ART Schutzstaffel,$ADJ l'organisation$NOM paramilitaire$ADJ du$PRP:det parti$NOM nazi$ADJ entre$PRP @card@$NUM et$KON @card@$NUM mais$KON historique$ADJ d'abord$ADV utiliser$VER:pper comme$KON grade$NOM par$PRP le$DET:ART Sturmabteilung$NOM Il$NAM être$VER:simp créer$VER:pper suite$NOM à$PRP l'augmentation$NOM du$PRP:det membre$NOM durant$PRP le$DET:ART année$NOM @card@$NUM et$KON @ord@$NUM
FR#WIKIDATA#Q900333	famille$NOM de$PRP poisson$NOM
FR#WIKI#Benetton_Formula	Benetton$NAM Formula$NAM @card@$NUM être$VER:impf un$DET:ART écurie$NOM de$PRP Formule$NAM @card@$NUM fonder$VER:pper par$PRP Luciano$NAM Benetton$NAM à$PRP le$DET:ART suite$NOM du$PRP:det rachat$NOM de$PRP l'écurie$NOM anglais$ADJ Toleman.$NAM
FR#WIKIDATA#Q529744	commune$NOM espagnol$ADJ
FR#WIKI#Phare_de_Bell_Rock	le$DET:ART phare$NOM de$PRP Bell$NAM Rock$NAM être$VER:pres le$DET:ART plus$ADV vieux$ADJ phare$NOM de$PRP mer$NOM du$PRP:det monde$NOM toujours$ADV en$PRP activité$NOM aujourd'hui$ADV après$PRP celui$PRO:DEM de$PRP Cordouan.$NAM
FR#WIKIDATA#Q392370	acteur$NOM américain$ADJ
FR#WIKIDATA#Q746095	commune$NOM français$ADJ
FR#WIKIDATA#Q671475	L'aéroport$NOM international$ADJ de$PRP Boston$NAM
FR#WIKI#Ilebo	Ilebo,$NOM anciennement$ADV connaître$VER:pper sous$PRP le$DET:ART nom$NOM de$PRP Port-Francqui,$NOM être$VER:pres un$DET:ART territoire$NOM et$KON un$DET:ART localité$NOM de$PRP le$DET:ART république$NOM démocratique$ADJ du$PRP:det Congo.$ABR
FR#WIKIDATA#Q137514	commune$NOM français$ADJ
FR#WIKI#Moussan	Moussan$NAM être$VER:pres un$DET:ART commune$NOM français$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Aude$NOM et$KON le$DET:ART région$NOM Languedoc-Roussillon.Souvent$VER:pres surnommer$VER:pper "Moussangeles".$VER:pper
FR#WIKIDATA#Q903039	groupe$NOM de$PRP musique$NOM finlandais$ADJ
FR#WIKI#Oberkirch	Oberkirch$NAM être$VER:pres un$DET:ART ville$NOM allemande,$ADJ de$PRP @card@$NUM @card@$NUM habitant$NOM situer$VER:pper dans$PRP le$DET:ART Land$NAM de$PRP Bade-Wurtemberg.$NAM
FR#WIKIDATA#Q8467	compagnon$NOM et$KON ami$NOM proche$ADJ de$PRP Mahomet$NAM
FR#WIKI#The_Harbour_Hotel_&_Residence	The$NAM Harbour$NAM Hotel$NAM &$SYM Residence$NAM être$VER:pres un$DET:ART gratte$NOM ciel$NOM situer$VER:pper dans$PRP le$DET:ART Marina$NAM de$PRP Dubaï.$NAM
FR#WIKI#Trois_femmes_(film,_1977)	trois$NUM femme$NOM être$VER:pres un$DET:ART film$NOM américain$ADJ de$PRP Robert$NAM Altman,$ABR sortir$VER:pper en$PRP @ord@$NAM
FR#WIKI#Mont_Liamuiga	le$DET:ART mont$NOM Liamuiga,$NAM anciennement$ADV mont$NOM Misery,$ABR en$PRP anglais$ADJ et,$NOM être$VER:pres un$DET:ART volcan$NOM de$PRP Saint-Christophe-et-Niévès$NAM situer$VER:pper sur$PRP l'île$NOM de$PRP Saint-Christophe.$NAM
FR#WIKIDATA#Q667269	commune$NOM français$ADJ
FR#WIKIDATA#Q22767	commune$NOM français$ADJ
FR#WIKI#Parti_unioniste_d'Ulster	le$DET:ART parti$NOM unioniste$ADJ d'Ulster$NOM être$VER:pres un$DET:ART parti$NOM politique$ADJ d'Irlande$ADJ du$PRP:det Nord.$NOM
FR#WIKI#Interphone	un$DET:ART interphone$NOM être$VER:pres un$DET:ART téléphone$NOM qui$PRO:REL utiliser$VER:pres un$DET:ART réseau$NOM interne$ADJ ;$PUN il$PRO:PER n'est$NOM donc$ADV pas$ADV connecter$VER:pper au$PRP:det réseau$NOM téléphonique.$ADJ
FR#WIKIDATA#Q41003	commune$NOM italien$ADJ
FR#WIKI#Silicon_Image	Silicon$NAM Image$NAM être$VER:pres un$DET:ART fabricant$NOM de$PRP matériel$NOM informatique$ADJ et$KON multimédia$ADJ haut$ADJ définition$NOM baser$VER:pper à$PRP Sunnyvale$NAM dans$PRP le$DET:ART comté$NOM de$PRP Santa$NAM Clara$NAM en$PRP Californie.$NAM
FR#WIKIDATA#Q2193958	commune$NOM polonais$ADJ
FR#WIKI#Groupe_Indépendance/Démocratie	le$DET:ART groupe$NOM Indépendance/Démocratie$NOM être$VER:impf un$DET:ART groupe$NOM parlementaire$ADJ au$PRP:det parlement$NOM européen$ADJ durant$PRP le$DET:ART législature$NOM @card@$NUM
FR#WIKI#Takalik_Abaj	Takalik$NAM Abaj$NAM ou$KON Abaj$ABR Takalik$NAM être$VER:pres un$DET:ART site$NOM archéologique$ADJ mésoaméricain$ADJ qui$PRO:REL se$PRO:PER trouver$VER:pres dans$PRP le$DET:ART piémont$NOM pacifique$ADJ du$PRP:det Guatemala.$NAM
FR#WIKI#Repo_Men	Repo$NAM Men$NAM ou$KON le$DET:ART repreneurs$NOM au$PRP:det Québec$NAM être$VER:pres un$DET:ART film$NOM américano-canadien$ADJ de$PRP science-fiction$NOM appartenir$VER:ppre au$PRP:det genre,$NOM réaliser$VER:pper par$PRP Miguel$NAM Sapochnik,$ABR sortir$VER:pper en$PRP Amérique$NAM du$PRP:det Nord$NOM et$KON au$PRP:det Canada$NAM le$DET:ART et$KON en$PRP Europe$NAM le.$ABR
FR#WIKI#Donnie_Van_Zant	Donnie$NAM Van$NAM Zant,$ABR naître$VER:pper le$DET:ART à$PRP Jacksonville,$NAM en$PRP Floride,$NAM être$VER:pres un$DET:ART chanteur$NOM américain$ADJ de$PRP rock.$NOM
FR#WIKI#James_Heller	James$NAM Heller$NAM être$VER:pres un$DET:ART personnage$NOM fictif$ADJ de$PRP le$DET:ART série$NOM américain$ADJ @card@$NUM heure$NOM chrono.$ADJ
FR#WIKI#Cyndi_Lauper	cynthia$NOM Ann$NAM Stephanie$NAM Lauper,$ABR dire$VER:pper Cyndi$NAM Lauper,$NAM être$VER:pres un$DET:ART chanteur$NOM américain$ADJ naître$VER:pper le$DET:ART dans$PRP le$DET:ART quartier$NOM de$PRP Brooklyn,$NAM à$PRP New$NAM York.$ABR
FR#WIKIDATA#Q368495	espèce$NOM de$PRP mammifère$NOM
FR#WIKI#Biosphère_II	biosphère$NOM II,$NAM ou$KON Biosphère$NAM @card@$NUM être$VER:pres un$DET:ART site$NOM expérimental$ADJ construire$VER:pper pour$PRP reproduire$VER:infi un$DET:ART système$NOM écologique$ADJ artificiel$ADJ clore$VER:pres situer$VER:pper à$PRP Oracle,$NAM dans$PRP le$DET:ART désert$NOM de$PRP l'Arizona.$ABR
FR#WIKIDATA#Q339665	commune$NOM allemand$ADJ
FR#WIKI#Xian_autonome_li_de_Baisha	le$DET:ART xian$NOM autonome$ADJ li$NOM de$PRP Baisha$NAM être$VER:pres un$DET:ART district$NOM administratif$ADJ de$PRP le$DET:ART province$NOM chinois$ADJ insulaire$ADJ de$PRP Hainan.$NAM
FR#WIKI#Glucomètre	pour$PRP obtenir$VER:infi un$DET:ART mesure$NOM de$PRP glycémie,$NOM on$PRO:PER utiliser$VER:pres un$DET:ART glucomètre,$NOM un$DET:ART lecteur$NOM de$PRP glycémie.$NOM
FR#WIKI#Josh_Zuckerman	Josh$NAM Zuckerman$NAM être$VER:pres un$DET:ART acteur$NOM naître$VER:pper le$DET:ART 1er$NUM avril$NOM @card@$NUM à$PRP Los$NAM Altos$NAM en$PRP Californie.$NAM
FR#WIKI#Laguna_de_Guatavita	le$DET:ART laguna$NOM de$PRP Guatavita$NAM être$VER:pres un$DET:ART lac$NOM situer$VER:pper en$PRP Colombie,$NAM dans$PRP le$DET:ART département$NOM de$PRP Cundinamarca,$ABR à$PRP un$DET:ART soixantaine$NOM de$PRP kilomètre$NOM au$PRP:det nord$NOM de$PRP le$DET:ART ville$NOM de$PRP Bogotá.$NAM
FR#WIKI#Steven_Saylor	Steven$NAM Saylor$NAM être$VER:pres un$DET:ART écrivain$NOM américain,$ADJ auteur$NOM de$PRP roman$NOM policier$ADJ et$KON historiques.$ADJ
FR#WIKI#Biologie_de_l'évolution	le$DET:ART biologie$NOM de$PRP l’évolution$NOM être$VER:pres le$DET:ART domaine$NOM de$PRP le$DET:ART biologie$NOM qui$PRO:REL viser$VER:pres à$PRP comprendre$VER:infi le$DET:ART scénario$NOM et$KON le$DET:ART mécanisme$NOM de$PRP l’évolution$NOM du$PRP:det espèces.$ABR
FR#WIKI#Porte_de_Menin	le$DET:ART mémorial$NOM de$PRP le$DET:ART porte$NOM de$PRP Menin,$NAM être$VER:pres un$DET:ART monument$NOM d'Ypres,$ADJ en$PRP Flandre,$ABR dédier$VER:pper au$PRP:det soldat$NOM britannique$ADJ et$KON du$PRP:det Commonwealth$NAM tuer$VER:pper au$PRP:det cour|cours$NOM du$PRP:det bataille$NOM féroce$ADJ autour$ADV du$PRP:det Saillant$NAM d'Ypres$NOM et$KON disparaître$VER:pper sans$PRP sépulture$NOM pendant$PRP le$DET:ART premier|première$NOM Guerre$NAM mondiale.$ABR
FR#WIKI#Blansko	Blansko$NAM être$VER:pres un$DET:ART ville$NOM de$PRP Moravie$NAM du$PRP:det Sud$NOM en$PRP République$NAM tchèque.$ABR
FR#WIKIDATA#Q1729076	commune$NOM tchèque$ADJ
FR#WIKI#Épisiotomie	L'épisiotomie$NAM être$VER:pres un$DET:ART acte$NOM chirurgical$ADJ consister$VER:ppre à$PRP ouvrir$VER:infi le$DET:ART périnée$NOM au$PRP:det moment$NOM de$PRP l'accouchement$NOM afin$KON de$PRP laisser$VER:infi passer$VER:infi l'enfant.$VER:pper
FR#WIKI#Roshan_Seth	Roshan$NAM Seth$NAM être$VER:pres un$DET:ART acteur$NOM indien$ADJ naître$VER:pper le$DET:ART à$PRP Patna.$NAM
FR#WIKIDATA#Q18507	équipe$NOM de$PRP football$NOM britannique$ADJ
FR#WIKIDATA#Q142704	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q11729	municipalité$NOM Suisse$NAM dans$PRP le$DET:ART district$NOM de$PRP Seeland,$ABR canton$NOM de$PRP Bern$NAM
FR#WIKIDATA#Q1493136	compétition$NOM de$PRP football$NOM
FR#WIKIDATA#Q377243	commune$NOM français$ADJ
FR#WIKI#ISO_3166-1_alpha-2	le$DET:ART code$NOM ISO$NAM @card@$NUM alpha-2$NOM être$VER:pres du$PRP:det code$NOM pays$NOM de$PRP deux$NUM lettre$NOM définir$VER:pper dans$PRP le$DET:ART norme$NOM ISO$NAM @card@$NUM publier$VER:pper par$PRP l'Organisation$NOM international$ADJ de$PRP normalisation$NOM pour$PRP représenter$VER:infi le$DET:ART pays,$NOM le$DET:ART territoire$NOM à$PRP souveraineté$NOM spécial$ADJ et$KON le$DET:ART zone$NOM spécial$ADJ d’intérêt$NOM géographique.$ADJ
FR#WIKI#Stefano_Eranio	Stefano$NAM Eranio$NAM être$VER:pres un$DET:ART ancien$ADJ footballeur$NOM italien,$VER:subi naître$VER:pper le$DET:ART @card@$NUM décembre$NOM @card@$NUM à$PRP Gênes.$NAM
FR#WIKIDATA#Q30896	acteur|actrice$NOM américain$ADJ
FR#WIKI#Conjugué_isogonal	deux$NUM couple$NOM de$PRP droit|droite$NOM et$KON être$VER:pres antiparallèle$ADJ s'ils$NOM avoir$VER:pres le$DET:ART même$ADJ direction$NOM de$PRP bissectrices.$ABR
FR#WIKIDATA#Q373251	écrivain$NOM français$ADJ
FR#WIKI#Route_européenne_314	le$DET:ART route$NOM européen$ADJ @card@$NUM être$VER:pres un$DET:ART autoroute$NOM relier$VER:ppre Louvain$NAM à$PRP Aix-la-Chapelle.$NAM
FR#WIKIDATA#Q707823	acteur$NOM canadien$ADJ
FR#WIKI#Abbaye_de_Jumièges	L'abbaye$NAM Saint-Pierre$NAM de$PRP Jumièges$NAM être$VER:simp fonder$VER:pper par$PRP saint$ADJ Philibert,$NOM fil|fils$NOM d'un$ADJ comte$NOM franc$ADJ de$PRP Gascogne$NAM vers$PRP @card@$NUM sur$PRP un$DET:ART domaine$NOM du$PRP:det fisc$NOM royal$ADJ à$PRP Jumièges.$NAM
FR#WIKIDATA#Q1340462	jeu$NOM vidéo$ADJ de$PRP @card@$NUM
FR#WIKIDATA#Q482830	automobile$NOM
FR#WIKI#Architecture_Harvard	L’architecture$NOM de$PRP type$NOM Harvard$NAM être$VER:pres un$DET:ART conception$NOM de$PRP microprocesseur$NOM qui$PRO:REL séparer$VER:pres physiquement$ADV le$DET:ART mémoire$NOM de$PRP donnée$NOM et$KON le$DET:ART mémoire$NOM programme.$ADJ
FR#WIKI#Oscar_de_la_meilleure_actrice_dans_un_second_rôle	L’Oscar$NOM de$PRP le$DET:ART meilleur$ADJ acteur|actrice$NOM dans$PRP un$DET:ART second$NUM rôle$NOM être$VER:pres un$DET:ART récompense$NOM cinématographique$ADJ américain$ADJ décerner$VER:pper chaque$PRO:IND année$NOM depuis$PRP @card@$NUM par$PRP l'Academy$NOM of$VER:subi Motion$NAM Picture$NAM Arts$NAM and$VER:futu Sciences,$NAM lequel$PRO:REL décerner$VER:pres également$ADV tout$PRO:IND le$DET:ART autre$ADJ Oscars.$NAM
FR#WIKIDATA#Q100124	district$NOM de$PRP l'Inde$NOM
FR#WIKI#Lacs_(État)	lac|lacs$NOM être$VER:pres un$DET:ART État$NAM situer$VER:pper au$PRP:det centre$NOM du$PRP:det Soudan$NAM du$PRP:det Sud.$NOM
FR#WIKI#Mainbernheim	Mainbernheim$NAM être$VER:pres un$DET:ART ville$NOM allemande,$ADJ situer$VER:pper en$PRP Bavière,$NOM dans$PRP l'arrondissement$NOM de$PRP Kitzingen.$NAM
FR#WIKI#Passo_de_Torres	Passo$NAM de$PRP Torres$NAM être$VER:pres un$DET:ART ville$NOM brésilien$ADJ du$PRP:det littoral$ADJ sud$NOM de$PRP l'État$NOM de$PRP Santa$NAM Catarina.$ABR
FR#WIKIDATA#Q2708321	genre$NOM de$PRP poisson$NOM
FR#WIKI#Conan_Ier_de_Bretagne	Conan$NAM dire$VER:pres le$DET:ART Tort,$ADJ fil|fils$NOM de$PRP Juhel$NAM Bérenger,$ABR comte$NOM de$PRP Rennes,$NAM être$VER:simp comte$NOM de$PRP Rennes$NAM à$PRP partir$VER:infi de$PRP @card@$NUM et$KON duc$NOM de$PRP Bretagne$NAM de$PRP @card@$NUM à$PRP @ord@$NAM
FR#WIKIDATA#Q273509	acteur|actrice$NOM américain$ADJ
FR#WIKI#Beaufremont	Beaufremont$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Vosges.$NAM
FR#WIKIDATA#Q332483	politicien$NOM britannique$ADJ
FR#WIKIDATA#Q233303	pilote$NOM automobile$ADJ
FR#WIKI#Nectomys	Nectomys$NAM être$VER:pres un$DET:ART genre$NOM d'animaux$ADJ de$PRP l'ordre$VER:infi du$PRP:det rongeurs.$ABR
FR#WIKI#Garrett_Wang	Garrett$NAM Richard$NAM Wang,$ABR naître$VER:pper le$DET:ART @card@$NUM décembre$NOM @card@$NUM être$VER:pres un$DET:ART acteur$NOM américain.$ADJ
FR#WIKIDATA#Q328692	composé$NOM chimique$ADJ
FR#WIKIDATA#Q840416	commune$NOM français$ADJ
FR#WIKI#Nesoromys_ceramicus	le$DET:ART genre$NOM Nesoromys$NAM ne$ADV comporter$VER:pres qu'une$NOM seul$ADJ espèce,$NOM un$DET:ART rongeur$NOM de$PRP le$DET:ART famille$NOM du$PRP:det muridés$NOM :$PUN Nesoromys$NOM ceramicus$NOM de$PRP l'île$NOM indonésien$ADJ de$PRP Céram$NOM dans$PRP le$DET:ART mont$NOM Manusela.$NAM
FR#WIKIDATA#Q576696	commune$NOM français$ADJ
FR#WIKI#Theta_Pegasi	Theta$NAM Pegasi$NAM être$VER:pres un$DET:ART étoile$NOM de$PRP le$DET:ART constellation$NOM de$PRP Pégase.$NAM
FR#WIKI#Lactitol	le$DET:ART lactitol$NOM être$VER:pres un$DET:ART polyol$NOM fréquemment$ADV utiliser$VER:pper comme$KON édulcorer$VER:ppre artificiel$ADJ et$KON comme$ADV laxatif.$ADJ
FR#WIKIDATA#Q901606	commune$NOM français$ADJ
FR#WIKI#(7720)_Lepaute	L'astéroïde$NAM Lepaute$NAM avoir$VER:pres être$VER:pper baptiser$VER:pper en$PRP mémoire$NOM de$PRP Nicole-Reine$NAM Lepaute,$ABR astronome$NOM et$KON mathématicien$NOM contemporain$ADJ de$PRP Jérôme$NAM Lalande,$ABR avec$PRP qui$PRO:REL elle$PRO:PER collaborer$VER:simp étroitement.$VER:pper
FR#WIKIDATA#Q1714123	chanson$NOM de$PRP Billy$NAM Joel$NAM
FR#WIKIDATA#Q954064	commune$NOM français$ADJ
FR#WIKIDATA#Q665760	commune$NOM français$ADJ
FR#WIKI#László_Németh	László$ABR Németh$NAM être$VER:pres un$DET:ART écrivain$NOM hongrois$ADJ naître$VER:pper à$PRP Nagybánya$NAM le$DET:ART et$KON mort$NOM à$PRP Budapest$NAM le.$ABR
FR#WIKI#Erny-Saint-Julien	Erny-Saint-Julien$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Pas-de-Calais$NAM et$KON le$DET:ART région$NOM Nord-Pas-de-Calais.$ABR
FR#WIKI#Acquafondata	Acquafondata$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ de$PRP moins$ADV de$PRP habitants,$NOM situer$VER:pper dans$PRP le$DET:ART province$NOM de$PRP Frosinone,$ABR dans$PRP le$DET:ART région$NOM Latium,$NAM en$PRP Italie$NAM centrale.$ABR
FR#OMWIKI#7947	ordinateur$NOM que$KON l'on$NOM pouvoir$VER:pres transporter,$ADJ et$KON suffisamment$ADV petit$ADJ et$KON léger$ADJ pour$PRP pouvoir$VER:infi être$VER:infi utiliser$VER:pper sur$PRP son$DET:POS genoux.$NOM
FR#WIKIDATA#Q1196972	comédien$NOM de$PRP doublage$NOM japonais$ADJ
FR#WIKI#Constitution_soviétique	L'URSS$NAM avoir$VER:pres être$VER:pper gouverner$VER:pper selon$PRP quatre$NUM constitution$NOM successif$ADJ :$PUN le$DET:ART théorie$NOM politique$ADJ sous-jacent$ADJ à$PRP le$DET:ART constitution$NOM soviétique$ADJ différer$VER:pres fortement$ADV du$PRP:det théorie$NOM du$PRP:det constitution$NOM occidentales.$ADJ
FR#WIKIDATA#Q215721	acteur$NOM américain$ADJ
FR#WIKIDATA#Q1026606	Raïon$NOM de$PRP Russie$NAM
FR#WIKI#Jyoti_Basu	Jyotirindra$NAM Basu,$NAM naître$VER:pper le$DET:ART à$PRP Calcutta$NAM et$KON mourir$VER:pper le$DET:ART dans$PRP ce$PRO:DEM même$ADJ ville,$NOM être$VER:pres un$DET:ART homme$NOM politique$ADJ indien.$ADJ
FR#WIKI#Paradise_(Texas)	Paradise$NAM être$VER:pres un$DET:ART village$NOM du$PRP:det comté$NOM de$PRP Wise$NOM dans$PRP l'État$NOM du$PRP:det Texas$NAM au$PRP:det États-Unis,$NOM il$PRO:PER compter$VER:impf @card@$NUM habitant$NOM en$PRP @ord@$NAM
FR#WIKIDATA#Q607883	médicament$NOM
FR#WIKIDATA#Q1345287	ville$NOM japonais$ADJ
FR#WIKIDATA#Q838947	espèce$NOM d'animaux$ADJ
FR#WIKIDATA#Q1855314	commune$NOM tchèque$ADJ
FR#WIKI#Âge_d'or_de_la_culture_juive_en_Espagne	L’âge$ADJ d'or$NOM de$PRP le$DET:ART culture$NOM juif$ADJ en$PRP Espagne,$NAM également$ADV connaître$VER:pper comme$ADV l’âge$ADJ d'or$NOM du$PRP:det règne$NOM arabe$ADJ en$PRP Ibérie,$NOM faire$VER:pres référence$NOM à$PRP un$DET:ART période$NOM de$PRP l'histoire$NOM de$PRP le$DET:ART péninsule$NOM ibérique$ADJ sous$PRP domination$NOM musulman$ADJ pendant$PRP lequel$PRO:REL le$DET:ART juif$NOM avoir$VER:cond connaître$VER:pper un$DET:ART important$ADJ essor$NOM social,$ADJ culturel,$NOM intellectuel$ADJ et$KON religieux.$ADJ
FR#WIKI#Championnat_de_Suède_de_football_1956-1957	le$DET:ART championnat$NOM de$PRP Suède$NAM de$PRP football$NOM @card@$NUM être$VER:pres le$DET:ART édition$NOM de$PRP ce$PRO:DEM championnat.$NOM
FR#WIKI#Traité_d'Hadiach	le$DET:ART traité$NOM de$PRP Hadiach$NAM ou$KON Hadiatch$NAM être$VER:pres un$DET:ART traité$NOM de$PRP paix$NOM signer$VER:pper le,$NOM à$PRP Hadiatch$NAM entre$PRP le$DET:ART repésentants$NOM de$PRP l'Union$NOM de$PRP Pologne-Lituanie,$NOM représenter$VER:pper par$PRP S.$NAM
FR#WIKIDATA#Q23058	division$NOM administratif$ADJ de$PRP le$DET:ART Suisse$NAM
FR#WIKI#Jean-Luc_Picard	Jean-Luc$NAM Picard$NAM être$VER:pres un$DET:ART personnage$NOM de$PRP l'univers$NOM de$PRP fiction$NOM de$PRP Star$NAM Trek.$ABR
FR#WIKIDATA#Q1803499	commune$NOM brésilien$ADJ
FR#WIKIDATA#Q667457	footballeur$NOM turc$ADJ
FR#WIKI#Macadam_à_deux_voies	macadam$NOM à$PRP deux$NUM voie$NOM être$VER:pres un$DET:ART road$NOM movie$NOM réaliser$VER:pper par$PRP Monte$NAM Hellman$NAM en$PRP @ord@$NAM
FR#WIKI#Doupě	Doupě$NAM être$VER:pres un$DET:ART village$NOM du$PRP:det district$NOM de$PRP Jihlava$NAM dans$PRP le$DET:ART région$NOM de$PRP Vysočina$NAM en$PRP Tchéquie.$NAM
FR#WIKI#Équipe_d'Arménie_de_football	L'équipe$NOM d'Arménie$NOM de$PRP football$NOM être$VER:pres constituer$VER:pper par$PRP un$DET:ART sélection$NOM du$PRP:det meilleur$ADJ joueur$NOM arménien$ADJ sous$PRP l'égide$NOM de$PRP le$DET:ART fédération$NOM de$PRP football$NOM d'Arménie.$ADJ
FR#WIKIDATA#Q1647583	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q390901	commune$NOM français$ADJ
FR#WIKI#Rocha_(ville)	rocher$VER:simp être$VER:pres un$DET:ART ville$NOM de$PRP l'Uruguay$NOM et$KON le$DET:ART capitale$NOM du$PRP:det département$NOM de$PRP Rocha.$NAM
